pitcher,gameid,inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
"Estes, Brady",20260220-BaggettStadium-2,8,1,1,1,3.0,3.0,Right,FourSeamFastBall,InPlay,87.26,2056.36,6.205,6.022,-2.007,-1.9598,3.7519,15.1892,-11.8679,2.418,0.472,-6.0323,1.6148,87.32,FlyBall
"Estes, Brady",20260220-BaggettStadium-2,8,2,0,0,4.0,1.0,Right,FourSeamFastBall,BallCalled,87.71,2079.49,6.348,6.141,-2.137,-0.9550,4.1037,23.6671,-8.1906,4.217,0.964,-3.4360,2.6275,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,2,1,0,4.0,2.0,Right,FourSeamFastBall,BallCalled,85.94,2043.10,6.172,6.055,-2.262,-1.2687,1.1599,21.6996,-10.7370,3.535,-2.085,-4.4144,-0.7770,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,0,0,0,1.0,1.0,Left,FourSeamFastBall,BallCalled,87.81,2089.96,6.709,6.180,-2.131,-1.4350,4.6301,18.7083,-12.2584,3.489,1.090,-4.6206,2.4067,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,0,1,0,1.0,2.0,Left,FourSeamFastBall,BallCalled,88.82,2112.84,6.403,6.072,-1.945,-1.1359,3.2253,22.6532,-8.8784,4.002,0.285,-3.5599,1.6205,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,2,2,0,4.0,3.0,Right,FourSeamFastBall,BallCalled,85.74,2014.64,6.167,5.972,-2.239,-3.1288,3.4113,13.9250,-14.4422,1.076,-0.288,-7.6279,0.8087,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,2,3,0,4.0,4.0,Right,FourSeamFastBall,StrikeCalled,86.35,2062.27,6.081,6.115,-2.091,-2.1219,2.1011,22.6181,-7.0239,2.899,-0.732,-5.0398,0.8372,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,0,2,0,1.0,3.0,Left,FourSeamFastBall,StrikeCalled,87.39,2133.59,6.343,5.883,-2.478,-2.6773,4.3058,23.2899,-12.4236,2.333,0.459,-5.2105,2.0668,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,0,2,1,1.0,4.0,Left,FourSeamFastBall,FoulBallNotFieldable,87.60,2148.57,6.375,6.040,-2.006,-1.7295,3.0834,20.8855,-13.0693,3.202,-0.255,-4.6216,0.7208,61.83,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,2,3,1,4.0,5.0,Right,FourSeamFastBall,BallCalled,85.12,2013.73,6.156,6.024,-1.969,-3.0015,4.3571,15.7484,-13.5926,1.339,0.932,-7.2998,1.9135,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,0,2,2,1.0,5.0,Left,FourSeamFastBall,FoulBallNotFieldable,88.65,2119.85,6.243,6.034,-2.012,-1.6893,3.4709,17.8704,-12.4301,3.017,0.158,-5.0365,1.2305,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,0,2,2,1.0,6.0,Left,Slider,BallCalled,78.65,1763.57,5.842,5.826,-2.437,1.4870,2.2238,4.1891,0.0447,3.721,-0.365,-6.2881,2.2318,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,0,3,2,1.0,7.0,Left,FourSeamFastBall,FoulBallNotFieldable,87.94,2067.86,6.444,6.027,-2.155,-2.4256,4.0188,19.9517,-9.3072,2.491,0.768,-5.4360,2.3373,84.74,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,0,3,2,1.0,8.0,Left,FourSeamFastBall,BallCalled,88.44,2013.00,6.485,5.974,-2.232,-0.4849,3.3436,20.5408,-11.8887,4.328,-0.149,-3.2868,1.1912,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,2,0,0,5.0,1.0,Right,FourSeamFastBall,StrikeSwinging,88.12,2174.48,6.087,6.146,-2.319,-1.4897,2.5132,21.4390,-11.3891,3.534,-0.942,-4.3713,0.4642,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,2,0,1,5.0,2.0,Right,FourSeamFastBall,BallCalled,88.93,2146.52,6.172,6.165,-2.182,-3.1460,4.0179,16.7030,-12.1784,1.698,0.521,-6.6808,1.8273,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,0,0,0,2.0,1.0,Right,FourSeamFastBall,BallCalled,86.08,1997.12,6.256,6.146,-2.152,-1.3238,2.3177,21.8823,-9.2806,3.648,-0.787,-4.2873,0.6424,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,2,1,1,5.0,3.0,Right,FourSeamFastBall,FoulBallNotFieldable,86.01,2021.83,5.741,6.056,-2.585,-2.4563,4.1454,15.4377,-16.1862,1.844,-0.067,-6.7717,1.2566,69.17,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,2,1,2,5.0,4.0,Right,FourSeamFastBall,BallCalled,88.70,2184.65,6.152,6.137,-2.446,-1.0917,2.9412,22.3922,-12.7462,4.033,-0.788,-3.6708,0.6465,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,2,2,2,5.0,5.0,Right,FourSeamFastBall,InPlay,88.04,2129.39,6.174,6.158,-2.272,-2.2845,2.2664,19.2771,-8.7913,2.662,-0.911,-5.4719,0.6815,99.00,LineDrive
"Estes, Brady",20260220-BaggettStadium-2,8,0,1,0,2.0,2.0,Right,FourSeamFastBall,FoulBallNotFieldable,86.67,2028.23,6.388,6.197,-2.029,-1.8256,3.0405,22.5433,-7.3931,3.345,0.154,-4.5614,1.7042,69.86,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,0,1,1,2.0,3.0,Right,ChangeUp,BallCalled,81.92,1820.20,6.639,5.945,-2.371,-1.4412,1.8581,11.4725,-11.5412,2.134,-1.631,-7.1242,-0.2443,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,2,0,0,6.0,1.0,Left,Slider,BallCalled,79.28,1549.87,5.876,5.856,-2.358,3.0039,2.4707,0.9067,-0.0626,4.890,-0.067,-5.4105,2.4595,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,0,2,1,2.0,4.0,Right,FourSeamFastBall,StrikeSwinging,86.81,1998.97,6.272,6.122,-2.115,-1.4827,2.7912,20.4711,-7.5927,3.332,-0.172,-4.8175,1.4210,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,2,1,0,6.0,2.0,Left,FourSeamFastBall,BallCalled,86.24,2121.24,6.144,6.152,-2.225,-0.3792,1.9915,17.5378,-12.4485,4.100,-1.421,-4.3073,-0.2520,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,0,2,2,2.0,5.0,Right,FourSeamFastBall,FoulBallNotFieldable,86.85,2023.26,6.186,6.131,-1.958,-1.3422,3.0240,20.8171,-12.2929,3.498,-0.188,-4.6018,0.8094,65.38,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,2,2,0,6.0,3.0,Left,FourSeamFastBall,StrikeCalled,86.54,2075.26,6.041,6.145,-2.304,-2.0223,2.4778,23.0372,-8.8043,3.031,-0.742,-4.9380,0.8953,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,2,2,1,6.0,4.0,Left,FourSeamFastBall,InPlay,85.06,2031.77,6.306,6.142,-2.396,-1.2604,2.3520,19.8597,-8.4931,3.410,-0.935,-4.9063,0.8174,64.52,FlyBall
"Estes, Brady",20260220-BaggettStadium-2,8,0,2,2,2.0,6.0,Right,ChangeUp,InPlay,81.53,1540.84,6.875,5.950,-2.357,-1.6513,2.9805,14.1167,-15.4706,2.215,-0.927,-6.7526,0.1538,67.45,FlyBall
"Estes, Brady",20260220-BaggettStadium-2,8,1,0,0,3.0,1.0,Right,FourSeamFastBall,BallCalled,87.74,2088.77,6.118,6.223,-2.158,-0.6930,1.4645,22.7266,-10.1984,4.459,-1.654,-3.3339,-0.3728,null,Undefined
"Estes, Brady",20260220-BaggettStadium-2,8,1,1,0,3.0,2.0,Right,FourSeamFastBall,FoulBallNotFieldable,86.37,1984.96,6.521,6.001,-2.163,-2.3596,3.9739,21.0410,-9.5270,2.512,0.695,-5.4241,2.2500,82.62,Undefined
"Estes, Brady",20260226-BaggettStadium-1,8,0,2,0,1.0,3.0,Right,Fastball,StrikeCalled,91.10,2160.25,6.110,5.902,-2.018,-3.1738,3.4920,14.9539,-12.9389,1.412,0.137,-6.6750,1.1646,null,Undefined
"Estes, Brady",20260226-BaggettStadium-1,8,2,3,2,5.0,6.0,Right,Slider,FoulBallNotFieldable,80.74,1574.24,5.501,5.971,-1.986,-1.2118,3.5797,3.6007,1.8928,1.440,1.525,-8.6738,3.9163,null,Undefined
"Estes, Brady",20260226-BaggettStadium-1,8,0,2,1,1.0,4.0,Right,Fastball,InPlay,90.43,2190.25,5.910,6.009,-1.768,-2.5792,3.3490,15.7187,-10.9665,2.058,0.430,-6.0936,1.3838,92.63,LineDrive
"Estes, Brady",20260226-BaggettStadium-1,8,2,3,2,5.0,7.0,Right,Fastball,FoulBallNotFieldable,89.98,2141.07,6.016,6.113,-1.937,-0.9356,3.0890,16.8564,-5.3974,3.730,0.477,-4.4259,2.1202,64.86,Undefined
"Estes, Brady",20260226-BaggettStadium-1,8,1,0,0,2.0,1.0,Right,Fastball,BallCalled,91.50,2088.84,6.036,5.949,-1.834,-0.9741,2.9064,16.9856,-12.6217,3.679,-0.192,-4.1124,0.6386,null,Undefined
