pitcher,gameid,inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
"McGrath, Sean",20260227-BaggettStadium-1,11,0,0,2,5.0,3.0,Right,Slider,StrikeCalled,82.26,2770.76,5.038,5.932,3.372,0.0495,-1.2624,-0.9335,-14.2066,2.331,0.997,-7.8737,-3.7737,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,1,0,0,6.0,1.0,Right,Fastball,InPlay,90.48,2061.26,5.492,6.109,3.018,-1.8220,-3.0441,17.5442,7.6981,2.904,0.809,-5.2474,-1.6754,82.19,FlyBall
"McGrath, Sean",20260227-BaggettStadium-1,11,0,0,0,3.0,1.0,Right,FourSeamFastBall,StrikeCalled,90.93,2079.48,5.546,6.080,3.147,-2.7388,-4.2014,18.7745,5.7972,2.194,-0.303,-5.7334,-3.1722,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,0,0,1,3.0,2.0,Right,Cutter,BallCalled,84.71,2637.15,4.892,6.047,3.242,-1.8430,-4.0475,2.7424,-7.2490,1.165,-1.198,-8.5782,-5.3202,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,1,0,0,7.0,1.0,Right,Fastball,BallCalled,87.34,2027.32,5.525,6.064,3.299,0.5645,-6.2480,14.4391,5.8633,4.631,-2.077,-3.8495,-5.2143,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,0,1,1,3.0,3.0,Right,FourSeamFastBall,BallCalled,91.98,2149.12,5.532,6.061,3.191,-4.1937,-4.6888,19.0881,8.1016,0.902,-0.527,-6.9519,-3.2522,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,1,1,0,7.0,2.0,Right,Fastball,BallCalled,87.32,2019.07,5.675,5.933,2.924,-1.5125,-7.9067,15.0745,6.7491,2.600,-3.932,-5.7861,-6.7209,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,0,2,1,3.0,4.0,Right,Slider,BallCalled,80.27,2731.81,5.189,5.853,3.450,-0.1511,-4.0843,-2.8377,-14.2766,1.766,-1.589,-8.6617,-6.6026,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,1,2,0,7.0,3.0,Right,Fastball,BallCalled,90.85,2161.22,5.639,6.045,2.998,-3.3428,-4.4495,18.7410,5.4782,1.591,-0.705,-6.3472,-3.4759,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,0,3,1,3.0,5.0,Right,Fastball,FoulBallNotFieldable,90.90,2113.24,5.738,6.066,2.988,-2.4997,-3.9157,17.7930,6.4748,2.354,-0.124,-5.6352,-2.7612,75.16,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,1,3,0,7.0,4.0,Right,Fastball,BallCalled,90.88,2108.86,5.676,6.093,3.072,-1.3110,-2.3460,15.7040,7.4689,3.344,1.506,-4.7531,-1.0122,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,0,3,2,3.0,6.0,Right,Cutter,FoulBallNotFieldable,84.53,2584.33,4.861,6.032,3.168,0.1221,-2.8006,0.2045,-8.1179,2.797,-0.162,-7.1124,-4.2275,89.58,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,0,3,2,3.0,7.0,Right,Fastball,BallCalled,91.17,2167.88,5.666,6.039,3.070,-2.8948,-4.5291,11.1287,9.4555,1.408,-0.374,-7.1666,-2.8459,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,1,0,0,8.0,1.0,Right,Fastball,BallCalled,89.18,2065.00,5.910,5.964,3.125,-2.7888,-5.7625,16.8497,5.9585,1.797,-1.745,-6.3234,-4.7019,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,10,2,0,0,4.0,1.0,Right,Cutter,BallCalled,82.31,2563.51,4.975,5.927,3.379,-2.4187,-3.7961,1.5045,-10.3243,-0.041,-1.072,-10.4665,-5.6147,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,1,1,0,8.0,2.0,Right,Fastball,BallCalled,90.00,2072.88,5.601,6.088,3.108,-1.0084,-3.3558,18.3538,5.9566,3.714,0.468,-4.2901,-2.2956,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,10,2,1,0,4.0,2.0,Right,Slider,InPlay,78.35,2649.82,5.066,5.839,3.431,1.8764,-1.7417,-4.7580,-19.5213,3.247,0.162,-7.6132,-5.1880,97.99,LineDrive
"McGrath, Sean",20260227-BaggettStadium-1,11,1,2,0,8.0,3.0,Right,Fastball,StrikeCalled,89.28,2035.93,5.688,6.105,2.981,-1.9748,-3.5157,15.6358,2.7983,2.573,-0.067,-5.7891,-3.0169,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,1,2,1,8.0,4.0,Right,Slider,BallCalled,81.62,1923.93,6.114,5.871,3.108,-0.9901,-6.1540,6.1184,11.1471,1.869,-1.675,-7.8894,-4.1610,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,0,0,0,1.0,1.0,Left,FourSeamFastBall,StrikeCalled,92.02,2084.94,5.502,6.043,3.206,-2.5304,-4.4302,19.1708,9.3693,2.423,-0.165,-5.3865,-2.7687,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,0,0,1,1.0,2.0,Left,ChangeUp,BallCalled,86.74,1960.18,5.424,6.040,3.219,-3.3696,-4.7370,8.1408,15.0990,0.344,0.030,-8.9211,-2.0582,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,1,3,1,8.0,5.0,Right,Fastball,StrikeCalled,89.25,2094.37,5.807,6.068,2.910,-3.0223,-3.7440,12.0208,2.0552,1.315,-0.405,-7.3166,-3.3768,null,Undefined
"McGrath, Sean",20260227-BaggettStadium-1,11,0,0,0,4.0,1.0,Right,Fastball,FoulBallNotFieldable,91.64,2077.42,5.793,6.081,3.124,-1.5824,-4.1359,14.9565,7.8952,3.084,-0.072,-4.9980,-2.7272,85.82,Undefined
"McGrath, Sean",20260223-BaggettStadium-1,7,2,0,0,4,1,Left,Fastball,BallCalled,89.74,2152.64,5.591,5.984,3.190,0.3520,-4.2746,15.3674,16.3228,4.644,0.552,-3.4231,-1.3730,null,Undefined
"McGrath, Sean",20260223-BaggettStadium-1,7,2,1,0,4,2,Left,ChangeUp,BallCalled,82.65,1892.96,6.041,5.883,3.236,0.2440,-5.4479,10.6552,17.7591,3.594,-0.344,-5.3861,-2.2717,null,Undefined
"McGrath, Sean",20260223-BaggettStadium-1,7,2,2,0,4,3,Left,ChangeUp,StrikeCalled,83.79,1888.82,5.889,5.826,3.223,-1.7500,-5.7239,13.6901,18.6484,1.980,-0.555,-6.7103,-2.3988,null,Undefined
"McGrath, Sean",20260223-BaggettStadium-1,7,2,2,1,4,4,Left,ChangeUp,BallCalled,83.72,1923.61,6.099,5.841,3.085,-2.0788,-5.7521,10.4943,15.0912,1.453,-0.996,-7.5601,-3.0506,null,Undefined
"McGrath, Sean",20260223-BaggettStadium-1,7,2,3,1,4,5,Left,Fastball,InPlay,90.27,2104.08,5.578,5.893,3.105,-2.3278,-5.0761,17.6835,13.6832,2.264,-0.508,-5.6011,-2.6487,89.59,GroundBall
"McGrath, Sean",20260223-BaggettStadium-1,7,0,0,0,1,1,Left,Fastball,StrikeSwinging,89.49,1936.52,5.605,5.912,3.386,-1.6107,-4.6593,19.8716,13.1988,3.077,0.127,-4.6575,-2.3149,null,Undefined
"McGrath, Sean",20260223-BaggettStadium-1,7,0,0,1,1,2,Left,Fastball,FoulBallNotFieldable,91.61,1952.24,5.738,5.952,3.095,-2.9375,-5.1552,19.3150,12.4067,1.978,-0.685,-5.7543,-2.9487,84.17,Undefined
"McGrath, Sean",20260223-BaggettStadium-1,7,0,0,2,1,3,Left,ChangeUp,InPlay,85.03,1718.71,5.804,5.886,3.250,-2.8765,-4.7024,13.5514,17.6743,1.013,0.339,-7.7963,-1.5461,32.23,GroundBall
"McGrath, Sean",20260223-BaggettStadium-1,7,1,0,0,2,1,Right,Cutter,BallCalled,83.37,2244.94,4.991,5.956,3.419,-1.0072,-3.9886,-0.3321,-5.9980,1.487,-0.854,-8.5979,-5.0441,null,Undefined
"McGrath, Sean",20260223-BaggettStadium-1,7,1,1,0,2,2,Right,Fastball,StrikeCalled,91.63,2080.91,5.707,5.988,3.142,-2.6590,-5.0673,15.3828,13.5258,1.928,-0.464,-6.2219,-2.6614,null,Undefined
