"pitchuid","date","gameid","pitchno","first_seen_at","last_updated_at","source_raw_id","source_file","is_verified","time","utcdate","utctime","localdatetime","utcdatetime","hometeam","awayteam","stadium","level","league","gameuid","gameforeignid","hometeamforeignid","awayteamforeignid","system","inning","topbottom","outs","balls","strikes","paofinning","pitchofpa","pitcher","pitcherid","pitcherteam","pitcherthrows","pitcherset","batter","batterid","batterteam","batterside","catcher","catcherid","catcherteam","catcherthrows","taggedpitchtype","autopitchtype","pitchcall","relspeed","spinrate","spinaxis","tilt","extension","effectivevelo","relheight","relside","vertrelangle","horzrelangle","inducedvertbreak","horzbreak","vertbreak","pfxx","pfxz","platelocheight","platelocside","zonespeed","vertapprangle","horzapprangle","zonetime","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","pitchtrajectoryxc0","pitchtrajectoryxc1","pitchtrajectoryxc2","pitchtrajectoryyc0","pitchtrajectoryyc1","pitchtrajectoryyc2","pitchtrajectoryzc0","pitchtrajectoryzc1","pitchtrajectoryzc2","taggedhittype","autohittype","exitspeed","angle","direction","distance","hitspinrate","hitspinaxis","hangtime","bearing","positionat110x","positionat110y","positionat110z","lasttrackeddistance","contactpositionx","contactpositiony","contactpositionz","pitchlastmeasuredx","pitchlastmeasuredy","pitchlastmeasuredz","playresult","korbb","outsonplay","runsscored","notes","playid","maxheight","measuredduration","speeddrop","created_at","updated_at"
"097d6d90-a09d-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",112,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146516,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"14:07:54.96",2025-10-03,21:07:54.96,2025-10-03 21:07:54.96233,2025-10-03 21:07:54.96233,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",4,"Bottom",0,2,1,"2","4","McGrath, Sean",NA,"CAL_MUS","Undefined","Undefined","Thomas, Braxton","1000279235.0","CAL_MUS","Left","Meli, Owen",NA,"CAL_MUS","Undefined","FourSeamFastBall","Four-Seam","FoulBallNotFieldable",92.58,2004.56,219.1305,"1:15",5.868,90.97,5.9,1.351,-2.2407,-2.4396,18.7321,14.2531,-14.4071,-8.118,10.6709,2.615,0.271,83.4,-5.024,0.1152,0.41433,-1.1621,50,5.7106,5.0905,-134.1385,-5.6607,-14.564,33.1681,-13.03,54.63163,-135.27887,16.58407,5.89755,-5.21271,-6.51502,-1.3457,5.59126,-7.28199,"Undefined","FlyBall",88.58,36.3543,11.8199,341.36,4185.7,171.5049,5.18,6.445,108.3205,72.6304,19.1488,337.75,2.313,2.7384,-0.2498,NA,NA,NA,"Undefined","Undefined",0,0,NA,"c5386158-269a-432e-a488-770c99b67b49",93.41,NA,9.18,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"1cb7e9d0-a09d-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",113,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146517,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"14:08:27.37",2025-10-03,21:08:27.37,2025-10-03 21:08:27.37065,2025-10-03 21:08:27.37065,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",4,"Bottom",0,2,2,"2","5","McGrath, Sean",NA,"CAL_MUS","Undefined","Undefined","Thomas, Braxton","1000279235.0","CAL_MUS","Left","Meli, Owen",NA,"CAL_MUS","Undefined","FourSeamFastBall","Sinker","BallCalled",90.18,2110.12,225.1791,"1:30",5.896,88.99,5.757,1.686,-2.0722,-1.2844,12.2947,11.1808,-22.334,-6.0815,7.2705,1.97,1.425,81.97,-6.2612,0.7237,0.42354,-1.589,50,5.577,2.4467,-130.8086,-5.4614,-10.4524,29.665,-19.6781,54.60248,-131.84822,14.8325,5.75632,-4.77181,-9.83906,-1.68113,2.81305,-5.22622,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"8141d6eb-05c6-4806-a7e6-4b9ea5bc0fef",NA,NA,8.21,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"27620410-a09d-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",114,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146518,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"14:08:45.06",2025-10-03,21:08:45.06,2025-10-03 21:08:45.061376,2025-10-03 21:08:45.061376,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",4,"Bottom",0,3,2,"2","6","McGrath, Sean",NA,"CAL_MUS","Undefined","Undefined","Thomas, Braxton","1000279235.0","CAL_MUS","Left","Meli, Owen",NA,"CAL_MUS","Undefined","FourSeamFastBall","Sinker","InPlay",90.12,2073.41,226.4146,"1:30",5.843,89.4,5.784,1.596,-1.8276,-1.4171,10.2061,9.6353,-24.1057,-5.332,6.0192,2.076,1.082,82.93,-6.3031,0.3117,0.42159,-1.4867,50,5.621,2.8344,-130.9127,-4.9971,-9.2952,26.4606,-21.6808,54.6593,-131.85108,13.23029,5.78462,-4.22823,-10.8404,-1.59306,3.16404,-4.6476,"GroundBall","GroundBall",105.22,1.6646,-8.8557,77.87,1472.22,91.7275,0.535,-11.9328,NA,NA,NA,76.01,1.1672,2.0732,-1.1002,NA,NA,NA,"Out","Undefined",1,0,NA,"da784a94-67c4-4201-8238-78f37dec27ef",2.38,NA,7.18,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"39321ae0-a09d-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",115,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146519,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"14:09:14.95",2025-10-03,21:09:14.95,2025-10-03 21:09:14.954445,2025-10-03 21:09:14.954445,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",4,"Bottom",1,0,0,"3","1","McGrath, Sean",NA,"CAL_MUS","Undefined","Undefined","Meli, Owen",NA,"CAL_MUS","Undefined","Meli, Owen",NA,"CAL_MUS","Undefined","Sinker","Sinker","StrikeSwinging",93.34,2063.74,251.018,"2:15",5.69,91.56,5.989,1.441,-1.9137,-3.15,8.7701,22.1493,-23.9485,-12.2597,5.3799,2.206,0.348,84.53,-6.3722,0.8084,0.41169,-1.1904,50,5.8125,6.4376,-135.2255,-5.3881,-22.448,32.5515,-22.3232,54.81128,-136.37878,16.27576,5.98939,-4.59722,-11.16161,-1.43255,7.23287,-11.22397,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"56de579d-8e06-4dbc-9888-d322ce7af536",NA,NA,8.8,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"422891b0-a09d-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",116,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146520,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"14:09:30.03",2025-10-03,21:09:30.03,2025-10-03 21:09:30.037555,2025-10-03 21:09:30.037555,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",4,"Bottom",1,0,1,"3","2","McGrath, Sean",NA,"CAL_MUS","Undefined","Undefined","Meli, Owen",NA,"CAL_MUS","Undefined","Meli, Owen",NA,"CAL_MUS","Undefined","FourSeamFastBall","Four-Seam","FoulBallNotFieldable",93.06,1981.54,209.0657,"1:00",5.854,91.77,5.978,1.414,-1.608,-2.978,19.449,10.1951,-13.1158,-6.111,10.7556,3.389,-0.506,84.41,-4.1449,-1.1531,0.41072,-1.1784,50,5.8399,6.5681,-134.9062,-4.1544,-11.1886,31.137,-12.4818,54.64644,-135.97436,15.56852,5.97512,-3.72622,-6.24091,-1.41027,6.95193,-5.59428,"Undefined","LineDrive",78.39,14.9384,170.9402,149.02,2640.4,306.386,1.581,175.629,-109.413,10.3198,11.3456,58.89,2.215,3.4033,0.4875,NA,NA,NA,"Undefined","Undefined",0,0,NA,"62fbe412-00d0-40e0-84b9-c553c9c19faa",13.51,NA,8.65,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"530f32e0-a09d-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",117,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146521,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"14:09:58.37",2025-10-03,21:09:58.37,2025-10-03 21:09:58.378342,2025-10-03 21:09:58.378342,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",4,"Bottom",1,0,2,"3","3","McGrath, Sean",NA,"CAL_MUS","Undefined","Undefined","Meli, Owen",NA,"CAL_MUS","Undefined","Meli, Owen",NA,"CAL_MUS","Undefined","ChangeUp","Changeup","FoulBallNotFieldable",85.3,1641.56,231.1742,"1:45",5.87,83.86,5.896,1.44,-1.616,-3.1697,12.4057,13.6706,-26.5959,-8.0932,7.2604,2.176,-0.368,77.15,-6.601,-0.7198,0.44948,-1.1914,50,5.7498,6.3028,-123.5853,-4.3228,-12.3383,27.906,-21.1053,54.63098,-124.62662,13.95299,5.89645,-3.53524,-10.55264,-1.43522,6.76315,-6.16914,"Undefined","GroundBall",72.7,-5.8152,-21.0961,21.55,NA,253.0933,0.183,-15.8798,NA,NA,NA,20.66,2.9347,2.3367,0.5238,NA,NA,NA,"Undefined","Undefined",0,0,NA,"90ae33f8-9b39-4d7f-8782-e00bc94054a3",2.34,NA,8.15,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"6469f2a0-a09d-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",118,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146522,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"14:10:27.53",2025-10-03,21:10:27.53,2025-10-03 21:10:27.539456,2025-10-03 21:10:27.539456,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",4,"Bottom",1,0,2,"3","4","McGrath, Sean",NA,"CAL_MUS","Undefined","Undefined","Meli, Owen",NA,"CAL_MUS","Undefined","Meli, Owen",NA,"CAL_MUS","Undefined","Sinker","Sinker","FoulBallNotFieldable",94.48,2124.62,237.6128,"2:00",5.801,93.14,6.084,1.348,-2.9338,-2.9696,13.3901,19.4474,-18.2273,-10.8551,8.0051,1.83,0.204,86.12,-6.3583,0.5125,0.4047,-1.1158,50,5.8316,6.2382,-136.9167,-7.6396,-20.5224,31.3693,-17.0397,54.70087,-137.98955,15.68463,6.08294,-7.05685,-8.51987,-1.34112,6.94005,-10.26118,"Undefined","GroundBall",64.01,-75.6747,-158.1958,1.97,NA,NA,0.021,-11.0919,NA,NA,NA,1.97,2.3965,1.9389,-0.1958,NA,NA,NA,"Undefined","Undefined",0,0,NA,"57c23d6c-d10a-47be-be69-c6ca515a6178",1.94,NA,8.36,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"76208e00-a09d-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",119,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146523,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"14:10:57.21",2025-10-03,21:10:57.21,2025-10-03 21:10:57.210163,2025-10-03 21:10:57.210163,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",4,"Bottom",1,0,2,"3","5","McGrath, Sean",NA,"CAL_MUS","Undefined","Undefined","Meli, Owen",NA,"CAL_MUS","Undefined","Meli, Owen",NA,"CAL_MUS","Undefined","Sinker","Sinker","InPlay",93.87,2053.52,242.149,"2:00",5.76,92.52,6.091,1.298,-2.1425,-2.5611,10.3913,17.6569,-21.6497,-9.7671,6.2326,2.29,0.384,85.56,-6.1801,0.5997,0.4074,-1.0965,50,5.9002,5.2961,-136.131,-5.8613,-18.2472,31.1172,-20.5301,54.74099,-137.21045,15.55862,6.09117,-5.14917,-10.26503,-1.29116,5.92907,-9.12361,"GroundBall","GroundBall",97.8,-1.8288,20.5845,34.46,2746.88,298.2874,0.241,20.0474,NA,NA,NA,31.33,1.3709,2.2817,-0.4102,NA,NA,NA,"Out","Undefined",1,0,NA,"2ba4711f-e20b-4c0c-905d-9b03d5697e89",2.28,NA,8.31,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"bb304310-a09c-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",105,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146509,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"14:05:43.54",2025-10-03,21:05:43.54,2025-10-03 21:05:43.546778,2025-10-03 21:05:43.546778,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",4,"Bottom",0,0,0,"1","1","McGrath, Sean",NA,"CAL_MUS","Undefined","Undefined","Kordic, Dylan","1000123535.0","CAL_MUS","Left","Meli, Owen",NA,"CAL_MUS","Undefined","FourSeamFastBall","Sinker","BallCalled",92.5,1826.9,228.0996,"1:30",5.755,91.03,5.863,1.667,-2.6164,-1.6953,14.5578,14.9612,-18.5423,-8.1421,8.5379,1.879,1.335,84.06,-6.1082,0.9836,0.41408,-1.5356,50,5.6343,3.3028,-134.1119,-6.7374,-14.7148,31.0899,-16.7439,54.74571,-135.2076,15.54497,5.86129,-6.14729,-8.37193,-1.6611,3.82139,-7.3574,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"87ce005f-23d2-495e-8a7b-20e56e4f9920",NA,NA,8.44,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"c5393b50-a09c-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",106,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146510,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"14:06:00.46",2025-10-03,21:06:00.46,2025-10-03 21:06:00.464486,2025-10-03 21:06:00.464486,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",4,"Bottom",0,1,0,"1","2","McGrath, Sean",NA,"CAL_MUS","Undefined","Undefined","Kordic, Dylan","1000123535.0","CAL_MUS","Left","Meli, Owen",NA,"CAL_MUS","Undefined","FourSeamFastBall","Sinker","BallCalled",93.66,1948.52,232.8583,"1:45",5.663,91.93,5.885,1.508,-3.0958,-2.2536,11.1575,13.2599,-21.2942,-7.4617,6.9268,1.219,0.511,85.19,-7.0601,0.1167,0.41001,-1.3263,50,5.6097,4.7441,-135.6801,-8.0975,-13.7969,31.93,-19.3663,54.83777,-136.81385,15.96501,5.885,-7.40987,-9.68313,-1.5034,5.23401,-6.89845,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"2ba7f5ed-0a86-4aef-b331-2a6fedc1dac8",NA,NA,8.47,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
