inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
3,0,0,0,1,1,Left,FourSeamFastBall,StrikeCalled,88.91,2126.58,6.161,6.127,-2.175,-1.9988,2.8298,20.5727,-12.5144,3.036,-0.602,-4.896,0.5758,NA,Undefined
3,0,0,0,1,2,Left,FourSeamFastBall,BallCalled,88.99,2201.68,6.368,6.013,-2.477,-4.4744,3.9491,19.0562,-16.073,0.515,-0.176,-7.6256,1.046,NA,Undefined
3,0,1,0,1,3,Left,FourSeamFastBall,StrikeSwinging,88.01,2244.51,6.208,6.165,-2.283,-2.8062,3.1888,18.4244,-16.3052,2.062,-0.695,-6.2935,0.249,NA,Undefined
3,0,1,1,1,4,Left,FourSeamFastBall,BallCalled,90.25,2196.23,6.203,6.215,-2.296,-4.3876,4.4839,27.156,-11.8734,1.471,0.862,-6.0922,2.3516,NA,Undefined
3,0,2,1,1,5,Left,ChangeUp,StrikeSwinging,82.74,1426.33,6.564,5.867,-2.409,-2.8825,4.0009,14.891,-15.5513,1.055,-0.031,-7.822,1.18,NA,Undefined
3,1,1,2,2,4,Right,FourSeamFastBall,BallCalled,88.58,2082.2,5.981,6.255,-2.416,-2.0909,1.476,18.5423,-15.3786,2.853,-2.329,-5.4608,-1.2889,NA,Undefined
3,1,1,2,2,5,Right,ChangeUp,BallCalled,80.53,1404.3,6.427,5.699,-2.542,-1.7644,3.268,7.7739,-11.5895,1.174,-0.5,-8.2672,1.1676,NA,Undefined
3,1,2,2,2,6,Right,FourSeamFastBall,BallCalled,88.55,2093.06,6.028,6.202,-2.344,0.5783,2.4481,19.3316,-11.4217,5.297,-1.028,-2.8041,0.3958,NA,Undefined
3,1,3,2,2,7,Right,FourSeamFastBall,BallCalled,86.35,2010.16,6.081,6.02,-2.393,-1.6273,1.4415,15.7533,-15.1542,2.579,-2.322,-6.1065,-1.2891,NA,Undefined
3,1,0,0,3,1,Right,FourSeamFastBall,StrikeSwinging,85.62,2057.38,6.072,6.26,-2.133,-1.798,2.1547,18.5119,-14.6066,2.883,-1.355,-5.7604,-0.4748,NA,Undefined
3,0,1,2,2,4,Left,FourSeamFastBall,StrikeSwinging,89.52,2125.05,6.196,6.256,-2.121,-1.3519,3.2194,18.7332,-14.0738,3.64,-0.318,-4.5297,0.6839,NA,Undefined
3,1,0,0,3,1,Right,ChangeUp,BallCalled,82.57,1204.76,6.417,5.94,-2.292,-1.5597,3.1214,11.5413,-14.405,2.099,-0.62,-6.9858,0.5123,NA,Undefined
3,1,1,0,3,2,Right,FourSeamFastBall,StrikeCalled,89.65,2181.58,5.876,6.291,-2.138,-3.1429,2.611,18.3049,-8.7829,1.987,-0.443,-6.2774,1.0369,NA,Undefined
