"pitchuid","date","gameid","pitchno","first_seen_at","last_updated_at","source_raw_id","source_file","is_verified","time","utcdate","utctime","localdatetime","utcdatetime","hometeam","awayteam","stadium","level","league","gameuid","gameforeignid","hometeamforeignid","awayteamforeignid","system","inning","topbottom","outs","balls","strikes","paofinning","pitchofpa","pitcher","pitcherid","pitcherteam","pitcherthrows","pitcherset","batter","batterid","batterteam","batterside","catcher","catcherid","catcherteam","catcherthrows","taggedpitchtype","autopitchtype","pitchcall","relspeed","spinrate","spinaxis","tilt","extension","effectivevelo","relheight","relside","vertrelangle","horzrelangle","inducedvertbreak","horzbreak","vertbreak","pfxx","pfxz","platelocheight","platelocside","zonespeed","vertapprangle","horzapprangle","zonetime","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","pitchtrajectoryxc0","pitchtrajectoryxc1","pitchtrajectoryxc2","pitchtrajectoryyc0","pitchtrajectoryyc1","pitchtrajectoryyc2","pitchtrajectoryzc0","pitchtrajectoryzc1","pitchtrajectoryzc2","taggedhittype","autohittype","exitspeed","angle","direction","distance","hitspinrate","hitspinaxis","hangtime","bearing","positionat110x","positionat110y","positionat110z","lasttrackeddistance","contactpositionx","contactpositiony","contactpositionz","pitchlastmeasuredx","pitchlastmeasuredy","pitchlastmeasuredz","playresult","korbb","outsonplay","runsscored","notes","playid","maxheight","measuredduration","speeddrop","created_at","updated_at"
"0cf971c0-a099-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",60,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146464,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"13:39:22.76",2025-10-03,20:39:22.76,2025-10-03 20:39:22.764442,2025-10-03 20:39:22.764442,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",3,"Top",0,0,0,"1","1","Estes, Brady",NA,"CAL_MUS","Undefined","Undefined","Vachini, Dante","10281096.0","CAL_MUS","Left","Vachini, Dante","10281096.0","CAL_MUS","Left","FourSeamFastBall","Sinker","StrikeCalled",88.91,2126.58,147.0365,"11:00",6.161,87.93,6.127,-2.175,-1.9988,2.8298,20.5727,-12.5144,-14.8967,7.3487,11.6262,3.036,-0.602,80.26,-4.896,0.5758,0.42865,1.9663,50,5.9677,-5.8531,-128.8584,-4.8685,12.199,29.9524,-12.8744,54.33786,-129.86283,14.97621,6.12371,-4.43682,-6.4372,2.16945,-6.26219,6.09949,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"fee9239f-ee0e-4980-9175-0860c4047fbf",NA,NA,8.65,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"16b20010-a099-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",61,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146465,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"13:39:39.15",2025-10-03,20:39:39.15,2025-10-03 20:39:39.152947,2025-10-03 20:39:39.152947,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",3,"Top",0,0,0,"1","2","Estes, Brady",NA,"CAL_MUS","Undefined","Undefined","Vachini, Dante","10281096.0","CAL_MUS","Left","Vachini, Dante","10281096.0","CAL_MUS","Left","FourSeamFastBall","Sinker","BallCalled",88.99,2201.68,137.8184,"10:30",6.368,88.02,6.013,-2.477,-4.4744,3.9491,19.0562,-16.073,-16.3456,9.7999,11.8201,0.515,-0.176,80.41,-7.6256,1.046,0.42824,2.1986,50,5.6806,-8.2686,-128.6157,-10.5086,16.1623,30.5104,-12.6798,54.13461,-129.59279,15.2552,6.01067,-10.10251,-6.33992,2.47165,-8.7862,8.08115,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"5b6c9834-5702-4398-ae50-9653ba0c1ea2",NA,NA,8.58,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"269959b0-a099-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",62,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146466,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"13:40:05.75",2025-10-03,20:40:05.75,2025-10-03 20:40:05.75104,2025-10-03 20:40:05.75104,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",3,"Top",0,1,0,"1","3","Estes, Brady",NA,"CAL_MUS","Undefined","Undefined","Vachini, Dante","10281096.0","CAL_MUS","Left","Vachini, Dante","10281096.0","CAL_MUS","Left","FourSeamFastBall","Four-Seam","StrikeSwinging",88.01,2244.51,136.2025,"10:30",6.208,86.68,6.165,-2.283,-2.8062,3.1888,18.4244,-16.3052,-18.0763,9.5344,10.9031,2.062,-0.695,78.9,-6.2935,0.249,0.43483,2.0512,50,5.9448,-6.4329,-127.3638,-6.7272,15.3177,31.507,-14.6575,54.29046,-128.42075,15.75349,6.16227,-6.23549,-7.32872,2.27563,-6.94681,7.65887,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"749c66c3-11ea-470d-ab9c-94fcb0d96726",NA,NA,9.11,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"38041f00-a099-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",63,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146467,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"13:40:35.01",2025-10-03,20:40:35.01,2025-10-03 20:40:35.010304,2025-10-03 20:40:35.010304,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",3,"Top",0,1,1,"1","4","Estes, Brady",NA,"CAL_MUS","Undefined","Undefined","Vachini, Dante","10281096.0","CAL_MUS","Left","Vachini, Dante","10281096.0","CAL_MUS","Left","FourSeamFastBall","Four-Seam","BallCalled",90.25,2196.23,155.1672,"11:15",6.203,88.23,6.215,-2.296,-4.3876,4.4839,27.156,-11.8734,-8.0748,7.7694,16.0497,1.471,0.862,80.05,-6.0922,2.3516,0.4272,1.9641,50,5.8794,-9.6955,-130.057,-10.0727,12.9073,34.9162,-5.5109,54.29371,-131.20465,17.4581,6.20745,-9.89159,-2.75543,2.28973,-10.11971,6.45363,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"41125a23-a161-4c89-b6fe-8b9220ac4be3",NA,NA,10.2,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"4519bb00-a099-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",64,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146468,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"13:40:56.96",2025-10-03,20:40:56.96,2025-10-03 20:40:56.962611,2025-10-03 20:40:56.962611,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",3,"Top",0,2,1,"1","5","Estes, Brady",NA,"CAL_MUS","Undefined","Undefined","Vachini, Dante","10281096.0","CAL_MUS","Left","Vachini, Dante","10281096.0","CAL_MUS","Left","ChangeUp","Changeup","StrikeSwinging",82.74,1426.33,130.5464,"10:15",6.564,81.98,5.867,-2.409,-2.8825,4.0009,14.891,-15.5513,-25.9168,9.6552,9.2732,1.055,-0.031,74.4,-7.822,1.18,0.45977,2.14,50,5.6565,-7.8302,-119.7336,-6.7107,13.6904,28.1272,-19.0252,53.93678,-120.65488,14.06361,5.86608,-6.08752,-9.5126,2.40376,-8.27861,6.84522,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"1008f092-cade-4fda-a9f6-170de3439313",NA,NA,8.35,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"53e40be0-a099-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",65,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146469,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"13:41:21.72",2025-10-03,20:41:21.72,2025-10-03 20:41:21.724826,2025-10-03 20:41:21.724826,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",3,"Top",0,2,2,"1","6","Estes, Brady",NA,"CAL_MUS","Undefined","Undefined","Tayman, Ryan",NA,"CAL_MUS","Undefined","Vachini, Dante","10281096.0","CAL_MUS","Left","ChangeUp","Changeup","BallCalled",83.31,1533.15,131.9188,"10:30",6.432,83.24,5.926,-2.473,-3.0888,3.2721,13.6643,-13.7957,-25.9199,8.1773,8.3993,0.919,-0.612,76.5,-7.9568,0.7727,0.45283,2.2457,50,5.6935,-6.4156,-120.8227,-7.2436,12.0804,23.6732,-19.7656,54.06979,-121.61746,11.83662,5.92555,-6.57995,-9.88281,2.46794,-6.82116,6.04022,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"d212f617-f9f6-44ad-a9cd-850d8d12f9bf",NA,NA,6.82,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"6180d940-a099-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",66,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146470,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"13:41:44.68",2025-10-03,20:41:44.68,2025-10-03 20:41:44.688179,2025-10-03 20:41:44.688179,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",3,"Top",0,3,2,"1","7","Estes, Brady",NA,"CAL_MUS","Undefined","Undefined","Tayman, Ryan",NA,"CAL_MUS","Undefined","Vachini, Dante","10281096.0","CAL_MUS","Left","FourSeamFastBall","Sinker","StrikeCalled",88.94,2135.98,143.5292,"10:45",6.238,87.47,6.143,-2.255,-2.891,3.7766,21.2908,-14.6806,-14.5537,8.8714,12.4109,2.256,0.011,79.42,-5.7526,1.132,0.43091,1.9794,50,5.92,-7.8723,-128.5582,-6.8333,14.4916,32.5947,-11.9007,54.2584,-129.63337,16.29736,6.13896,-6.44075,-5.95037,2.24695,-8.3503,7.24578,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Strikeout",0,0,NA,"cd55fe2a-a746-4a52-bb43-bdca87569c60",NA,NA,9.51,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"6ceb8460-a099-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",67,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146471,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"13:42:03.73",2025-10-03,20:42:03.73,2025-10-03 20:42:03.739187,2025-10-03 20:42:03.739187,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",3,"Top",1,0,0,"2","1","Estes, Brady",NA,"CAL_MUS","Undefined","Undefined","Tayman, Ryan",NA,"CAL_MUS","Undefined","Vachini, Dante","10281096.0","CAL_MUS","Left","ChangeUp","Changeup","FoulBallNotFieldable",82.38,1286.21,130.8964,"10:15",6.474,81.85,5.932,-2.522,-1.7911,4.1994,14.2093,-14.6977,-26.7303,9.0515,8.4345,2.055,0.116,74.55,-6.8635,1.5401,0.46051,2.2322,50,5.7938,-8.2312,-119.3095,-4.4506,12.8681,25.8929,-20.1832,54.02632,-120.18015,12.94643,5.93202,-3.77198,-10.09158,2.51622,-8.66384,6.43406,"Undefined",NA,71.26,59.6982,151.7763,NA,4314.93,356.4544,NA,NA,NA,NA,NA,40.45,2.517,2.2623,-0.0717,NA,NA,NA,"Undefined","Undefined",0,0,NA,"5e4a23a1-a810-473a-9b5b-e79faee766bb",56.16,NA,7.83,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"7c94eaa0-a099-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",68,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146472,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"13:42:30.21",2025-10-03,20:42:30.21,2025-10-03 20:42:30.216294,2025-10-03 20:42:30.216294,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",3,"Top",1,0,1,"2","2","Estes, Brady",NA,"CAL_MUS","Undefined","Undefined","Tayman, Ryan",NA,"CAL_MUS","Undefined","Vachini, Dante","10281096.0","CAL_MUS","Left","FourSeamFastBall","Four-Seam","BallCalled",88.94,2070.33,146.9528,"11:00",6.233,87.9,6.154,-2.384,-1.7337,5.1318,19.994,-12.1773,-15.5007,7.848,11.2327,3.256,1.349,80.26,-4.7421,2.9461,0.4288,2.0054,50,6.0166,-11.0393,-128.571,-4.2841,12.9913,29.4112,-13.5799,54.26451,-129.54285,14.7056,6.15072,-3.83536,-6.78994,2.37724,-11.4686,6.49563,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"b5a2f66c-68bc-4ded-b2ce-d68f13396537",NA,NA,8.68,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
"9d15d6e0-a099-11f0-bb9a-3f1fd546703c",2025-10-03,"20251003-BaggettStadium-Private-1",70,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675,146474,"20251003-BaggettStadium-Private-1_unverified.csv",FALSE,"13:43:24.69",2025-10-03,20:43:24.69,2025-10-03 20:43:24.694374,2025-10-03 20:43:24.694374,"CAL_MUS","CAL_MUS","BaggettStadium","TeamExclusive","Team","c67d50ae-4981-4e74-baed-68ffc9e92d8b",NA,"471251","471251","v3",3,"Top",1,1,2,"2","4","Estes, Brady",NA,"CAL_MUS","Undefined","Undefined","Murray, Casey","1000127521.0","CAL_MUS","Right","Vachini, Dante","10281096.0","CAL_MUS","Left","FourSeamFastBall","Sinker","BallCalled",88.58,2082.2,138.2033,"10:30",5.981,87.18,6.255,-2.416,-2.0909,1.476,18.5423,-15.3786,-17.5466,8.2896,10.5548,2.853,-2.329,79.73,-5.4608,-1.2889,0.43237,2.3069,50,6.0799,-2.6417,-128.3708,-5.1668,13.5994,30.7535,-14.8585,54.51519,-129.44799,15.37676,6.25175,-4.64636,-7.42924,2.40778,-3.118,6.79971,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"6a3e5d1c-e181-4f5e-a079-2fb1f0bc7bb6",NA,NA,8.85,2026-03-28 06:11:36.384675,2026-03-28 06:11:36.384675
