"pitchuid","date","gameid","pitchno","first_seen_at","last_updated_at","source_raw_id","time","utcdate","utctime","localdatetime","utcdatetime","hometeam","awayteam","stadium","level","league","gameuid","gameforeignid","hometeamforeignid","awayteamforeignid","system","inning","topbottom","outs","balls","strikes","paofinning","pitchofpa","pitcher","pitcherid","pitcherteam","pitcherthrows","pitcherset","batter","batterid","batterteam","batterside","catcher","catcherid","catcherteam","catcherthrows","taggedpitchtype","autopitchtype","pitchcall","relspeed","spinrate","spinaxis","tilt","extension","effectivevelo","relheight","relside","vertrelangle","horzrelangle","inducedvertbreak","horzbreak","vertbreak","pfxx","pfxz","platelocheight","platelocside","zonespeed","vertapprangle","horzapprangle","zonetime","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","pitchtrajectoryxc0","pitchtrajectoryxc1","pitchtrajectoryxc2","pitchtrajectoryyc0","pitchtrajectoryyc1","pitchtrajectoryyc2","pitchtrajectoryzc0","pitchtrajectoryzc1","pitchtrajectoryzc2","taggedhittype","autohittype","exitspeed","angle","direction","distance","hitspinrate","hitspinaxis","hangtime","bearing","positionat110x","positionat110y","positionat110z","lasttrackeddistance","contactpositionx","contactpositiony","contactpositionz","pitchlastmeasuredx","pitchlastmeasuredy","pitchlastmeasuredz","playresult","korbb","outsonplay","runsscored","notes","playid","maxheight","measuredduration","speeddrop","created_at","updated_at"
"0976df70-0ede-11f1-b368-71a76cd039f7",2026-02-20,"20260220-BaggettStadium-2",267,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697,10219701,"20:30:22.44",2026-02-21,04:30:22.44,2026-02-21 04:30:22.447,2026-02-21 04:30:22.447,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","a7fee1db-0839-42f4-b5ae-99329c93474e","79cbe2918a404d8b8ff3e5f3344d3e14","471251","4505","v3",8,"Top",1,1,1,"3","3","Estes, Brady","1000344394","CAL_MUS","Left","Undefined","Northrop, Kyler","833545","WAS_COU","Right","Tayman, Ryan","822034","CAL_MUS","Right","FourSeamFastBall","Sinker","InPlay",87.26,2056.36,139.5552,"10:45",6.205,86.49,6.022,-2.007,-1.9598,3.7519,15.1892,-11.8679,-21.4743,7.3211,8.8423,2.418,0.472,79.23,-6.0323,1.6148,0.4358,1.7312,50,5.8632,-7.8266,-126.4339,-4.9526,11.7496,27.8303,-17.9831,54.29518,-127.37586,13.91516,6.02053,-4.34395,-8.99157,2.00282,-8.22427,5.87482,"FlyBall","FlyBall",87.32,26.8427,12.5981,296.06,3787.6,225.4871,4.019,26.9914,104.9213,47.2165,33.0375,291.11,1.9854,2.5444,-0.4506,NA,NA,NA,"Out","Undefined",1,0,NA,"dc2a7ecb-1908-4520-a35a-b522010d0117",55.69,NA,8.02,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697
"1d961660-0ede-11f1-b368-71a76cd039f7",2026-02-20,"20260220-BaggettStadium-2",268,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697,10219702,"20:30:56.13",2026-02-21,04:30:56.13,2026-02-21 04:30:56.135,2026-02-21 04:30:56.135,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","a7fee1db-0839-42f4-b5ae-99329c93474e","79cbe2918a404d8b8ff3e5f3344d3e14","471251","4505","v3",8,"Top",2,0,0,"4","1","Estes, Brady","1000344394","CAL_MUS","Left","Undefined","Smith, Trevor","10014675","WAS_COU","Right","Tayman, Ryan","822034","CAL_MUS","Right","FourSeamFastBall","Four-Seam","BallCalled",87.71,2079.49,159.9146,"11:15",6.348,87.07,6.141,-2.137,-0.955,4.1037,23.6671,-8.1906,-12.511,5.491,12.9337,4.217,0.964,79.22,-3.436,2.6275,0.43291,1.8422,50,6.0647,-8.7841,-127.0422,-2.359,8.8827,28.4975,-11.2513,54.14924,-127.9695,14.24872,6.13546,-1.99288,-5.62566,2.13274,-9.07318,4.44134,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"f02f0624-6f56-4b6a-9387-3b76596308af",NA,NA,8.49,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697
"27798540-0ede-11f1-b368-71a76cd039f7",2026-02-20,"20260220-BaggettStadium-2",269,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697,10219703,"20:31:12.76",2026-02-21,04:31:12.76,2026-02-21 04:31:12.761,2026-02-21 04:31:12.761,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","a7fee1db-0839-42f4-b5ae-99329c93474e","79cbe2918a404d8b8ff3e5f3344d3e14","471251","4505","v3",8,"Top",2,1,0,"4","2","Estes, Brady","1000344394","CAL_MUS","Left","Undefined","Smith, Trevor","10014675","WAS_COU","Right","Tayman, Ryan","822034","CAL_MUS","Right","FourSeamFastBall","Four-Seam","BallCalled",85.94,2043.1,152.1791,"11:00",6.172,85.09,6.055,-2.262,-1.2687,1.1599,21.6996,-10.737,-16.1776,5.8718,11.9789,3.535,-2.085,77.57,-4.4144,-0.777,0.44296,2.1791,50,5.9506,-2.0887,-124.6941,-3.1424,9.1237,28.1418,-13.5611,54.32472,-125.66634,14.07089,6.05106,-2.67391,-6.78053,2.25671,-2.40386,4.56184,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"b903737f-f7e2-4937-a181-37638fb906d2",NA,NA,8.37,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697
"287d5620-0edd-11f1-b368-71a76cd039f7",2026-02-20,"20260220-BaggettStadium-2",251,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697,10219685,"20:24:05.03",2026-02-21,04:24:05.03,2026-02-21 04:24:05.037,2026-02-21 04:24:05.037,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","a7fee1db-0839-42f4-b5ae-99329c93474e","79cbe2918a404d8b8ff3e5f3344d3e14","471251","4505","v3",8,"Top",0,0,0,"1","1","Estes, Brady","1000344394","CAL_MUS","Left","Undefined","Skjonsby, Ryan","833551","WAS_COU","Left","Tayman, Ryan","822034","CAL_MUS","Right","FourSeamFastBall","Four-Seam","BallCalled",87.81,2089.96,145.1487,"10:45",6.709,88.27,6.18,-2.131,-1.435,4.6301,18.7083,-12.2584,-16.4924,7.6953,10.5885,3.489,1.09,80.36,-4.6206,2.4067,0.42702,1.8275,50,6.0776,-9.853,-127.3268,-3.5824,12.6672,25.4792,-14.7444,53.79079,-128.08314,12.73958,6.17747,-3.14475,-7.37218,2.12552,-10.22904,6.33361,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"af51c1b7-3da8-4943-bdd7-23b7fb0a4eb1",NA,NA,7.45,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697
"2f8b36d0-0edd-11f1-b368-71a76cd039f7",2026-02-20,"20260220-BaggettStadium-2",252,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697,10219686,"20:24:16.88",2026-02-21,04:24:16.88,2026-02-21 04:24:16.884,2026-02-21 04:24:16.884,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","a7fee1db-0839-42f4-b5ae-99329c93474e","79cbe2918a404d8b8ff3e5f3344d3e14","471251","4505","v3",8,"Top",0,1,0,"1","2","Estes, Brady","1000344394","CAL_MUS","Left","Undefined","Skjonsby, Ryan","833551","WAS_COU","Left","Tayman, Ryan","822034","CAL_MUS","Right","FourSeamFastBall","Four-Seam","BallCalled",88.82,2112.84,157.5547,"11:15",6.403,88.6,6.072,-1.945,-1.1359,3.2253,22.6532,-8.8784,-12.2837,5.5368,12.4555,4.002,0.285,80.7,-3.5599,1.6205,0.42542,1.7168,50,5.9841,-6.9045,-128.8695,-2.8018,9.2698,27.8874,-11.3207,54.09523,-129.75265,13.94367,6.06712,-2.44325,-5.66035,1.94013,-7.1981,4.63491,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"3dad8ab6-9f30-429e-a11e-89350f048ba9",NA,NA,8.12,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697
"321806c0-0ede-11f1-b368-71a76cd039f7",2026-02-20,"20260220-BaggettStadium-2",270,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697,10219704,"20:31:30.52",2026-02-21,04:31:30.52,2026-02-21 04:31:30.521,2026-02-21 04:31:30.521,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","a7fee1db-0839-42f4-b5ae-99329c93474e","79cbe2918a404d8b8ff3e5f3344d3e14","471251","4505","v3",8,"Top",2,2,0,"4","3","Estes, Brady","1000344394","CAL_MUS","Left","Undefined","Smith, Trevor","10014675","WAS_COU","Right","Tayman, Ryan","822034","CAL_MUS","Right","FourSeamFastBall","Changeup","BallCalled",85.74,2014.64,131.233,"10:15",6.167,85.07,5.972,-2.239,-3.1288,3.4113,13.925,-14.4422,-23.976,8.4995,8.4943,1.076,-0.288,78.37,-7.6279,0.8087,0.4431,1.988,50,5.7219,-6.8491,-124.225,-7.5079,13.2299,25.7894,-18.9521,54.33427,-125.12156,12.89471,5.97147,-6.84901,-9.47607,2.23408,-7.30902,6.61497,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"528d4222-ccba-495a-94cd-9dcd5f36450c",NA,NA,7.37,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697
"3a50f9f0-0ede-11f1-b368-71a76cd039f7",2026-02-20,"20260220-BaggettStadium-2",271,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697,10219705,"20:31:44.33",2026-02-21,04:31:44.33,2026-02-21 04:31:44.339,2026-02-21 04:31:44.339,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","a7fee1db-0839-42f4-b5ae-99329c93474e","79cbe2918a404d8b8ff3e5f3344d3e14","471251","4505","v3",8,"Top",2,3,0,"4","4","Estes, Brady","1000344394","CAL_MUS","Left","Undefined","Smith, Trevor","10014675","WAS_COU","Right","Tayman, Ryan","822034","CAL_MUS","Right","FourSeamFastBall","Four-Seam","StrikeCalled",86.35,2062.27,161.7396,"11:30",6.081,85.38,6.115,-2.091,-2.1219,2.1011,22.6181,-7.0239,-15.0045,4.2443,12.6699,2.899,-0.732,78.15,-5.0398,0.8372,0.44147,1.9322,50,5.9424,-4.3053,-125.1832,-4.9918,6.6657,27.6986,-12.276,54.41615,-126.15651,13.84929,6.11022,-4.56037,-6.13801,2.08757,-4.53957,3.33284,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"02ad9e0a-07ec-43a6-b6a8-686e7b2dc789",NA,NA,8.2,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697
"3b229740-0edd-11f1-b368-71a76cd039f7",2026-02-20,"20260220-BaggettStadium-2",253,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697,10219687,"20:24:36.28",2026-02-21,04:24:36.28,2026-02-21 04:24:36.283,2026-02-21 04:24:36.283,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","a7fee1db-0839-42f4-b5ae-99329c93474e","79cbe2918a404d8b8ff3e5f3344d3e14","471251","4505","v3",8,"Top",0,2,0,"1","3","Estes, Brady","1000344394","CAL_MUS","Left","Undefined","Skjonsby, Ryan","833551","WAS_COU","Left","Tayman, Ryan","822034","CAL_MUS","Right","FourSeamFastBall","Four-Seam","StrikeCalled",87.39,2133.59,150.6419,"11:00",6.343,87.02,5.883,-2.478,-2.6773,4.3058,23.2899,-12.4236,-12.928,7.6619,13.2234,2.333,0.459,79.66,-5.2105,2.0668,0.43315,2.1695,50,5.6817,-9.0407,-126.5605,-6.2049,12.4099,26.1651,-10.7564,54.15674,-127.41696,13.08254,5.87899,-5.85277,-5.37819,2.47209,-9.44694,6.20495,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"d8f799f3-cc8e-4fd6-9ff8-5c3c6df3d6a3",NA,NA,7.73,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697
"43986c60-0edd-11f1-b368-71a76cd039f7",2026-02-20,"20260220-BaggettStadium-2",254,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697,10219688,"20:24:50.45",2026-02-21,04:24:50.45,2026-02-21 04:24:50.457,2026-02-21 04:24:50.457,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","a7fee1db-0839-42f4-b5ae-99329c93474e","79cbe2918a404d8b8ff3e5f3344d3e14","471251","4505","v3",8,"Top",0,2,1,"1","4","Estes, Brady","1000344394","CAL_MUS","Left","Undefined","Skjonsby, Ryan","833551","WAS_COU","Left","Tayman, Ryan","822034","CAL_MUS","Right","FourSeamFastBall","Four-Seam","FoulBallNotFieldable",87.6,2148.57,146.4834,"11:00",6.375,87.52,6.04,-2.006,-1.7295,3.0834,20.8855,-13.0693,-14.9223,7.6868,11.7281,3.202,-0.255,80,-4.6216,0.7208,0.43069,1.7889,50,5.9076,-6.3453,-127.16,-4.1995,12.5802,26.188,-12.9799,54.12514,-128.00672,13.09402,6.03655,-3.77986,-6.48995,2.00059,-6.75201,6.29009,"Undefined",NA,61.83,66.3125,-99.9761,NA,NA,NA,NA,NA,NA,NA,NA,45.18,0.9729,3.1662,0.2495,NA,NA,NA,"Undefined","Undefined",0,0,NA,"6c39294e-f26c-4fab-83d8-6b180b454fba",83.57,NA,7.61,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697
"43abb0d0-0ede-11f1-b368-71a76cd039f7",2026-02-20,"20260220-BaggettStadium-2",272,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697,10219706,"20:32:00.09",2026-02-21,04:32:00.09,2026-02-21 04:32:00.099,2026-02-21 04:32:00.099,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","a7fee1db-0839-42f4-b5ae-99329c93474e","79cbe2918a404d8b8ff3e5f3344d3e14","471251","4505","v3",8,"Top",2,3,1,"4","5","Estes, Brady","1000344394","CAL_MUS","Left","Undefined","Smith, Trevor","10014675","WAS_COU","Right","Tayman, Ryan","822034","CAL_MUS","Right","FourSeamFastBall","Changeup","BallCalled",85.12,2013.73,136.7384,"10:30",6.156,84.33,6.024,-1.969,-3.0015,4.3571,15.7484,-13.5926,-22.8155,8.3371,9.4132,1.339,0.932,77.68,-7.2998,1.9135,0.44695,1.6444,50,5.7838,-8.8664,-123.1923,-7.1307,12.7575,25.4473,-17.7699,54.34517,-124.0866,12.72365,6.0234,-6.50615,-8.88493,1.96385,-9.31479,6.37874,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Walk",0,0,NA,"455de09e-4cd8-4d00-9d62-96aeb1d68c3a",NA,NA,7.44,2026-03-02 02:21:18.560697,2026-03-02 02:21:18.560697
