inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
4,0,2,1,2,4,Left,FourSeamFastBall,FoulBallNotFieldable,92.58,2004.56,5.868,5.9,1.351,-2.2407,-2.4396,18.7321,14.2531,2.615,0.271,-5.024,0.1152,88.58,Undefined
4,0,2,2,2,5,Left,FourSeamFastBall,BallCalled,90.18,2110.12,5.896,5.757,1.686,-2.0722,-1.2844,12.2947,11.1808,1.97,1.425,-6.2612,0.7237,NA,Undefined
4,0,3,2,2,6,Left,FourSeamFastBall,InPlay,90.12,2073.41,5.843,5.784,1.596,-1.8276,-1.4171,10.2061,9.6353,2.076,1.082,-6.3031,0.3117,105.22,GroundBall
4,0,0,0,1,1,Left,FourSeamFastBall,BallCalled,92.5,1826.9,5.755,5.863,1.667,-2.6164,-1.6953,14.5578,14.9612,1.879,1.335,-6.1082,0.9836,NA,Undefined
4,0,1,0,1,2,Left,FourSeamFastBall,BallCalled,93.66,1948.52,5.663,5.885,1.508,-3.0958,-2.2536,11.1575,13.2599,1.219,0.511,-7.0601,0.1167,NA,Undefined
4,0,2,0,1,3,Left,ChangeUp,BallCalled,84.08,1584.78,5.811,5.748,1.498,-1.1145,-1.5507,8.3593,13.4154,2.074,1.173,-6.9951,0.8556,NA,Undefined
4,0,3,0,1,4,Left,Sinker,BallCalled,93.63,1948.96,5.672,5.922,1.515,-3.0822,-3.1003,13.1197,16.7891,1.445,0.021,-6.6602,-0.1022,NA,Undefined
4,0,0,0,2,1,Left,Sinker,BallCalled,94.09,2010.68,5.65,5.923,1.425,-3.3978,-2.7387,10.3562,18.0833,0.933,0.376,-7.4347,0.4925,NA,Undefined
4,0,1,0,2,2,Left,Sinker,BallCalled,93.47,1913.5,5.723,5.854,1.624,-2.0641,-1.4814,13.6749,17.4194,2.383,1.695,-5.5472,1.6361,NA,Undefined
4,0,2,0,2,3,Left,ChangeUp,StrikeSwinging,86.23,1829.46,5.848,5.784,1.579,-2.7499,-3.0957,16.1655,19.1768,1.382,0.297,-6.9201,0.3405,NA,Undefined
3,1,0,0,5,1,Left,Sinker,BallCalled,90.94,1883.36,5.63,5.83,1.703,-1.1422,-1.7814,10.6369,18.7116,2.789,1.599,-5.5564,1.5615,NA,Undefined
