"pitchuid","date","gameid","pitchno","first_seen_at","last_updated_at","source_raw_id","time","utcdate","utctime","localdatetime","utcdatetime","hometeam","awayteam","stadium","level","league","gameuid","gameforeignid","hometeamforeignid","awayteamforeignid","system","inning","topbottom","outs","balls","strikes","paofinning","pitchofpa","pitcher","pitcherid","pitcherteam","pitcherthrows","pitcherset","batter","batterid","batterteam","batterside","catcher","catcherid","catcherteam","catcherthrows","taggedpitchtype","autopitchtype","pitchcall","relspeed","spinrate","spinaxis","tilt","extension","effectivevelo","relheight","relside","vertrelangle","horzrelangle","inducedvertbreak","horzbreak","vertbreak","pfxx","pfxz","platelocheight","platelocside","zonespeed","vertapprangle","horzapprangle","zonetime","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","pitchtrajectoryxc0","pitchtrajectoryxc1","pitchtrajectoryxc2","pitchtrajectoryyc0","pitchtrajectoryyc1","pitchtrajectoryyc2","pitchtrajectoryzc0","pitchtrajectoryzc1","pitchtrajectoryzc2","taggedhittype","autohittype","exitspeed","angle","direction","distance","hitspinrate","hitspinaxis","hangtime","bearing","positionat110x","positionat110y","positionat110z","lasttrackeddistance","contactpositionx","contactpositiony","contactpositionz","pitchlastmeasuredx","pitchlastmeasuredy","pitchlastmeasuredz","playresult","korbb","outsonplay","runsscored","notes","playid","maxheight","measuredduration","speeddrop","created_at","updated_at"
"14ab0250-1130-11f1-bef0-1fc34e60c8f6",2026-02-23,"20260223-BaggettStadium-1",227,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212,10351034,"19:22:42.83",2026-02-24,03:22:42.83,2026-02-24 03:22:42.839347,2026-02-24 03:22:42.839347,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","fabbc2b4-4c1c-420a-ad86-977b9b788d16","861d08208daf4a3cab963c25a1f8c48e","471251","4505","v3",7,"Top",2,0,0,"4","1","McGrath, Sean","1000367156","CAL_MUS","Right","Undefined","Robinson, Dustin","1000278574","WAS_COU","Left","Tayman, Ryan","822034.0","CAL_MUS","Right","Fastball","Sinker","BallCalled",89.74,2152.64,229.0216,"1:45",5.591,88.02,5.984,3.19,0.352,-4.2746,15.3674,16.3228,-20.0319,-9.4521,8.0065,4.644,0.552,81.32,-3.4231,-1.373,0.42822,-2.8336,50,6.0011,8.9745,-129.9113,0.15,-16.0805,28.3619,-18.5529,54.9077,-130.97831,14.18095,5.98235,0.84798,-9.27642,-3.18263,9.57949,-8.04025,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"e0c8e806-7442-451d-a096-8e8b5f112ceb",NA,NA,8.42,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212
"1e96fcb0-1130-11f1-bef0-1fc34e60c8f6",2026-02-23,"20260223-BaggettStadium-1",228,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212,10351035,"19:22:59.40",2026-02-24,03:22:59.40,2026-02-24 03:22:59.408,2026-02-24 03:22:59.408,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","fabbc2b4-4c1c-420a-ad86-977b9b788d16","861d08208daf4a3cab963c25a1f8c48e","471251","4505","v3",7,"Top",2,1,0,"4","2","McGrath, Sean","1000367156","CAL_MUS","Right","Undefined","Robinson, Dustin","1000278574","WAS_COU","Left","Tayman, Ryan","822034.0","CAL_MUS","Right","ChangeUp","Changeup","BallCalled",82.65,1892.96,242.1907,"2:00",6.041,81.94,5.883,3.236,0.244,-5.4479,10.6552,17.7591,-30.1905,-10.5625,5.8123,3.594,-0.344,75.6,-5.3861,-2.2717,0.45999,-2.8189,50,5.8856,10.7193,-119.6309,-0.4054,-15.3542,22.4132,-23.7249,54.45983,-120.46355,11.2066,5.88428,0.47605,-11.86247,-3.22775,11.28974,-7.67708,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"a44b9bf9-913d-4879-a78a-9890d5962a56",NA,NA,7.05,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212
"303e7ce0-1130-11f1-bef0-1fc34e60c8f6",2026-02-23,"20260223-BaggettStadium-1",229,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212,10351036,"19:23:29.05",2026-02-24,03:23:29.05,2026-02-24 03:23:29.050624,2026-02-24 03:23:29.050624,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","fabbc2b4-4c1c-420a-ad86-977b9b788d16","861d08208daf4a3cab963c25a1f8c48e","471251","4505","v3",7,"Top",2,2,0,"4","3","McGrath, Sean","1000367156","CAL_MUS","Right","Undefined","Robinson, Dustin","1000278574","WAS_COU","Left","Tayman, Ryan","822034.0","CAL_MUS","Right","ChangeUp","Changeup","StrikeCalled",83.79,1888.82,236.5138,"2:00",5.889,82.56,5.826,3.223,-1.75,-5.7239,13.6901,18.6484,-26.5497,-11.206,7.9039,1.98,-0.555,76.4,-6.7103,-2.3988,0.45656,-2.7714,50,5.6688,11.404,-121.095,-4.5293,-16.6015,24.151,-20.4646,54.61253,-122.01142,12.07548,5.82594,-3.75272,-10.23227,-3.21605,12.03393,-8.30075,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"5dff50bb-7f2f-4236-9397-1590dc8c43b9",NA,NA,7.39,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212
"3b7a4fd0-1130-11f1-bef0-1fc34e60c8f6",2026-02-23,"20260223-BaggettStadium-1",230,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212,10351037,"19:23:47.91",2026-02-24,03:23:47.91,2026-02-24 03:23:47.910298,2026-02-24 03:23:47.910298,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","fabbc2b4-4c1c-420a-ad86-977b9b788d16","861d08208daf4a3cab963c25a1f8c48e","471251","4505","v3",7,"Top",2,2,1,"4","4","McGrath, Sean","1000367156","CAL_MUS","Right","Undefined","Robinson, Dustin","1000278574","WAS_COU","Left","Tayman, Ryan","822034.0","CAL_MUS","Right","ChangeUp","Changeup","BallCalled",83.72,1923.61,238.6863,"2:00",6.099,82.86,5.841,3.085,-2.0788,-5.7521,10.4943,15.0912,-29.4558,-9.4576,6.3858,1.453,-0.996,76.61,-7.5601,-3.0506,0.45492,-2.6486,50,5.6648,11.6208,-121.0228,-5.3073,-14.0095,23.8866,-22.7147,54.40224,-121.88857,11.94331,5.84223,-4.48403,-11.35737,-3.07902,12.12859,-7.00477,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"15535962-e928-4578-bea2-45b7b16f965c",NA,NA,7.11,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212
"46b53860-1130-11f1-bef0-1fc34e60c8f6",2026-02-23,"20260223-BaggettStadium-1",231,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212,10351038,"19:24:06.78",2026-02-24,03:24:06.78,2026-02-24 03:24:06.783027,2026-02-24 03:24:06.783027,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","fabbc2b4-4c1c-420a-ad86-977b9b788d16","861d08208daf4a3cab963c25a1f8c48e","471251","4505","v3",7,"Top",2,3,1,"4","5","McGrath, Sean","1000367156","CAL_MUS","Right","Undefined","Robinson, Dustin","1000278574","WAS_COU","Left","Tayman, Ryan","822034.0","CAL_MUS","Right","Fastball","Four-Seam","InPlay",90.27,2104.08,219.6437,"1:15",5.578,88.5,5.893,3.105,-2.3278,-5.0761,17.6835,13.6832,-17.3369,-8.3854,9.9604,2.264,-0.508,82.23,-5.6011,-2.6487,0.42592,-2.6765,50,5.6806,10.9888,-130.4893,-5.8737,-14.4358,27.8536,-15.0269,54.92227,-131.53575,13.92677,5.89065,-5.30914,-7.51344,-3.09952,11.53113,-7.21791,"GroundBall","GroundBall",89.59,-1.2848,-1.5656,36.78,1716.6,61.5128,0.277,-1.5879,NA,NA,NA,36.11,1.5936,2.2919,0.4834,NA,NA,NA,"Out","Undefined",1,0,NA,"3bd2e7a4-f7f5-453d-8141-41fca4e46d41",2.29,NA,8.04,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212
"86c9c020-112f-11f1-bef0-1fc34e60c8f6",2026-02-23,"20260223-BaggettStadium-1",216,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212,10351023,"19:18:44.77",2026-02-24,03:18:44.77,2026-02-24 03:18:44.771123,2026-02-24 03:18:44.771123,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","fabbc2b4-4c1c-420a-ad86-977b9b788d16","861d08208daf4a3cab963c25a1f8c48e","471251","4505","v3",7,"Top",0,0,0,"1","1","McGrath, Sean","1000367156","CAL_MUS","Right","Undefined","Smith, Trevor","10014675","WAS_COU","Left","Tayman, Ryan","822034.0","CAL_MUS","Right","Fastball","Four-Seam","StrikeSwinging",89.49,1936.52,215.3509,"1:15",5.605,87.54,5.912,3.386,-1.6107,-4.6593,19.8716,13.1988,-15.9148,-8.0556,10.8902,3.077,0.127,80.89,-4.6575,-2.3149,0.43056,-2.9951,50,5.7635,9.9512,-129.3636,-4.1088,-13.5354,29.1198,-13.8758,54.8931,-130.46035,14.55989,5.90841,-3.58617,-6.93791,-3.37954,10.461,-6.76769,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"de5c5e67-2334-48ff-b392-40661e04c1ce",NA,NA,8.6,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212
"8fa709a0-112f-11f1-bef0-1fc34e60c8f6",2026-02-23,"20260223-BaggettStadium-1",217,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212,10351024,"19:18:59.67",2026-02-24,03:18:59.67,2026-02-24 03:18:59.679795,2026-02-24 03:18:59.679795,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","fabbc2b4-4c1c-420a-ad86-977b9b788d16","861d08208daf4a3cab963c25a1f8c48e","471251","4505","v3",7,"Top",0,0,1,"1","2","McGrath, Sean","1000367156","CAL_MUS","Right","Undefined","Smith, Trevor","10014675","WAS_COU","Left","Tayman, Ryan","822034.0","CAL_MUS","Right","Fastball","Four-Seam","FoulBallNotFieldable",91.61,1952.24,214.3994,"1:15",5.738,89.79,5.952,3.095,-2.9375,-5.1552,19.315,12.4067,-14.7017,-7.8807,11.07,1.978,-0.685,83.03,-5.7543,-2.9487,0.41978,-2.6724,50,5.6972,11.3907,-132.3011,-7.2426,-13.8676,30.1188,-12.6943,54.76248,-133.38086,15.05942,5.94872,-6.78747,-6.34717,-3.08967,11.88788,-6.9338,"Undefined","GroundBall",84.17,-7.6406,49.7074,17.27,NA,180,0.127,46.6717,NA,NA,NA,16.81,1.7455,2.096,0.6446,NA,NA,NA,"Undefined","Undefined",0,0,NA,"edc87b98-4184-4b09-9a80-a34c25a8236b",2.1,NA,8.58,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212
"9d926c30-112f-11f1-bef0-1fc34e60c8f6",2026-02-23,"20260223-BaggettStadium-1",218,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212,10351025,"19:19:22.97",2026-02-24,03:19:22.97,2026-02-24 03:19:22.978355,2026-02-24 03:19:22.978355,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","fabbc2b4-4c1c-420a-ad86-977b9b788d16","861d08208daf4a3cab963c25a1f8c48e","471251","4505","v3",7,"Top",0,0,2,"1","3","McGrath, Sean","1000367156","CAL_MUS","Right","Undefined","Smith, Trevor","10014675","WAS_COU","Left","Tayman, Ryan","822034.0","CAL_MUS","Right","ChangeUp","Changeup","InPlay",85.03,1718.71,235.7971,"1:45",5.804,83.02,5.886,3.25,-2.8765,-4.7024,13.5514,17.6743,-26.2391,-10.6887,8.317,1.013,0.339,76.47,-7.7963,-1.5461,0.45401,-2.874,50,5.6333,9.3878,-122.777,-7.0046,-15.9859,28.8872,-19.7353,54.69594,-123.87692,14.44362,5.88573,-6.25311,-9.86764,-3.243,9.99651,-7.99294,"GroundBall","GroundBall",32.23,-52.0901,-26.1126,5.11,NA,NA,0.036,-9.9653,NA,NA,NA,5.11,4.0761,1.3703,-0.4149,NA,NA,NA,"Out","Undefined",1,0,NA,"20a559cd-09a7-4611-b97a-f75f2b7839be",1.37,NA,8.56,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212
"b11bf2d0-112f-11f1-bef0-1fc34e60c8f6",2026-02-23,"20260223-BaggettStadium-1",219,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212,10351026,"19:19:55.71",2026-02-24,03:19:55.71,2026-02-24 03:19:55.712102,2026-02-24 03:19:55.712102,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","fabbc2b4-4c1c-420a-ad86-977b9b788d16","861d08208daf4a3cab963c25a1f8c48e","471251","4505","v3",7,"Top",1,0,0,"2","1","McGrath, Sean","1000367156","CAL_MUS","Right","Undefined","Northrop, Kyler","833545","WAS_COU","Right","Tayman, Ryan","822034.0","CAL_MUS","Right","Cutter","Slider","BallCalled",83.37,2244.94,74.6273,"8:30",4.991,80.95,5.956,3.419,-1.0072,-3.9886,-0.3321,-5.998,-42.1814,1.8383,0.5174,1.487,-0.854,76.66,-8.5979,-5.0441,0.4656,-3.0288,50,5.8245,8.6745,-120.6642,-3.7309,2.7038,23.9949,-31.413,55.50935,-121.75486,11.99746,5.9616,-2.30308,-15.70649,-3.42027,8.55158,1.35192,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"d99d94c9-5a3b-4094-aada-e943dfdffb39",NA,NA,6.71,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212
"ba58c170-112f-11f1-bef0-1fc34e60c8f6",2026-02-23,"20260223-BaggettStadium-1",220,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212,10351027,"19:20:11.27",2026-02-24,03:20:11.27,2026-02-24 03:20:11.277056,2026-02-24 03:20:11.277056,"CAL_MUS","WAS_COU","BaggettStadium","D1","BW","fabbc2b4-4c1c-420a-ad86-977b9b788d16","861d08208daf4a3cab963c25a1f8c48e","471251","4505","v3",7,"Top",1,1,0,"2","2","McGrath, Sean","1000367156","CAL_MUS","Right","Undefined","Northrop, Kyler","833545","WAS_COU","Right","Tayman, Ryan","822034.0","CAL_MUS","Right","Fastball","Four-Seam","StrikeCalled",91.63,2080.91,223.7645,"1:30",5.707,89.51,5.988,3.142,-2.659,-5.0673,15.3828,13.5258,-18.8453,-8.4568,9.0152,1.928,-0.464,82.62,-6.2219,-2.6614,0.42108,-2.7253,50,5.7526,11.118,-132.2667,-6.7696,-14.7839,31.6777,-16.4139,54.79102,-133.40919,15.83886,5.98609,-6.1776,-8.20695,-3.13585,11.65119,-7.39197,"Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undefined","Undefined",0,0,NA,"4b02641b-cf43-4e50-baa0-0d2276e4e812",NA,NA,9.01,2026-03-02 02:28:31.156212,2026-03-02 02:28:31.156212
